,Rank,Deck,Player,Record,Player_Name,Archetype,Decklist
0,1,359805,618808,12-1-2,Steven Minelli,Temur Rhinos,"Deck
1 Boseiju, Who Endures
1 Stomping Ground
4 Crashing Footfalls
3 Dead // Gone
1 Dismember
1 Mystical Dispute
4 Fire // Ice
1 Steam Vents
4 Force of Negation
1 Mountain
1 Gemstone Caverns
2 Mutavault
1 Ketria Triome
2 Island
1 Murktide Regent
1 Otawara, Soaring City
4 Shardless Agent
2 Flame of Anor
1 Breeding Pool
3 Subtlety
4 Violent Outburst
4 Wooded Foothills
1 Forest
4 Misty Rainforest
3 Tishana's Tidebinder
4 Lórien Revealed
1 Bonecrusher Giant

Sideboard
3 Endurance
2 Flame of Anor
2 Magus of the Moon
2 Mystical Dispute
1 Tishana's Tidebinder
2 Force of Vigor
1 Brotherhood's End
1 Ertai's Scorn
1 Blood Moon
"
1,2,358133,873311,12-2-1,Borja Yañez Carvajal,Golgari Yawgmoth,"Deck
4 Yawgmoth, Thran Physician
4 Delighted Halfling
1 Hapatra, Vizier of Poisons
1 Ignoble Hierarch
4 Orcish Bowmasters
1 Strangleroot Geist
1 Sheoldred, the Apocalypse
4 Wall of Roots
4 Young Wolf
1 Blood Artist
1 Endurance
3 Agatha's Soul Cauldron
4 Chord of Calling
1 Eldritch Evolution
4 Grist, the Hunger Tide
3 Blooming Marsh
2 Boseiju, Who Endures
2 Forest
2 Overgrown Tomb
1 Nurturing Peatland
1 Misty Rainforest
1 Pendelhaven
1 Swamp
1 Takenuma, Abandoned Mire
2 Twilight Mire
4 Verdant Catacombs
1 Khalni Garden
1 Dryad Arbor

Sideboard
1 Endurance
1 Fatal Push
2 Force of Vigor
1 Soulless Jailer
1 Go for the Throat
1 Haywire Mite
2 Chalice of the Void
1 Tear Asunder
1 Reclamation Sage
1 Legion's End
1 Fulminator Mage
1 Maelstrom Pulse
1 Scavenging Ooze
"
2,3,359801,638307,12-2-1,martos,Mono-Green Tron,"Deck
2 Ulamog, the Ceaseless Hunger
3 Wurmcoil Engine
1 Walking Ballista
4 Expedition Map
4 Sylvan Scrying
4 The One Ring
4 Ancient Stirrings
4 Karn, the Great Creator
4 Oblivion Stone
4 Chromatic Sphere
2 Chromatic Star
1 Talisman of Resilience
2 Relic of Progenitus
3 Dismember
4 Urza's Mine
4 Urza's Tower
4 Urza's Power Plant
3 Forest
1 Boseiju, Who Endures
2 Urza's Saga

Sideboard
2 Haywire Mite
1 Tormod's Crypt
1 Engineered Explosives
1 Pithing Needle
1 Torpor Orb
1 Liquimetal Coating
1 The Stone Brain
1 Cursed Totem
1 Ensnaring Bridge
1 Wurmcoil Engine
1 Cityscape Leveler
1 Sundering Titan
1 Walking Ballista
1 Chalice of the Void
"
3,4,358883,605030,12-2-1,Daniel Toledo,Golgari Yawgmoth,"Deck
3 Agatha's Soul Cauldron
3 Blooming Marsh
2 Boseiju, Who Endures
4 Chord of Calling
4 Delighted Halfling
1 Dryad Arbor
1 Swamp
4 Grist, the Hunger Tide
1 Hapatra, Vizier of Poisons
1 Haywire Mite
1 Gilded Goose
1 Khalni Garden
2 Misty Rainforest
1 Nurturing Peatland
4 Orcish Bowmasters
2 Overgrown Tomb
1 Pendelhaven
1 Sheoldred, the Apocalypse
2 Forest
1 Takenuma, Abandoned Mire
1 Twilight Mire
4 Verdant Catacombs
1 Walking Ballista
4 Wall of Roots
4 Yawgmoth, Thran Physician
4 Young Wolf
1 Blood Artist
1 Eldritch Evolution

Sideboard
2 Chalice of the Void
2 Endurance
1 Legion's End
2 Force of Vigor
2 Fulminator Mage
2 Fatal Push
1 Maelstrom Pulse
1 Reclamation Sage
1 Soulless Jailer
1 Tear Asunder
"
4,5,358587,791294,12-2-1,Rodrigo Togores,Living End,"Deck
3 Architects of Will
1 Boseiju, Who Endures
2 Breeding Pool
4 Curator of Mysteries
4 Force of Negation
1 Forest
4 Generous Ent
4 Grief
1 Island
4 Living End
4 Misty Rainforest
2 Oliphaunt
1 Otawara, Soaring City
4 Shardless Agent
2 Steam Vents
1 Stomping Ground
4 Street Wraith
4 Subtlety
1 Sunken Ruins
1 Urborg, Tomb of Yawgmoth
4 Violent Outburst
4 Waker of Waves

Sideboard
1 Boseiju, Who Endures
2 Endurance
2 Foundation Breaker
2 Ingot Chewer
2 Leyline of the Void
3 Mystical Dispute
2 Force of Vigor
1 Brazen Borrower
"
5,6,359344,704014,12-3-0,Nils Gutiérrez von Porat,Izzet Breach,"Deck
4 Dragon's Rage Channeler
4 Expressive Iteration
4 Unholy Heat
4 Mishra's Bauble
4 Scalding Tarn
4 Ragavan, Nimble Pilferer
3 Counterspell
4 Spirebluff Canal
4 Ledger Shredder
4 Lightning Bolt
1 Polluted Delta
1 Flooded Strand
4 Preordain
3 Underworld Breach
4 Steam Vents
1 Consider
1 Misty Rainforest
2 Spell Pierce
2 Island
1 Mountain
1 Stern Scolding

Sideboard
1 Cursed Totem
1 Cast into the Fire
1 Mystical Dispute
2 Engineered Explosives
1 Stern Scolding
2 Subtlety
1 Blood Moon
2 Fable of the Mirror-Breaker
1 Unlicensed Hearse
1 Magus of the Moon
2 Flusterstorm
"
6,7,358758,743187,12-3-0,Etienne Eggenschwiler,Golgari Yawgmoth,"Deck
3 Agatha's Soul Cauldron
3 Blooming Marsh
2 Boseiju, Who Endures
4 Chord of Calling
4 Delighted Halfling
1 Dryad Arbor
1 Endurance
2 Forest
4 Grist, the Hunger Tide
1 Haywire Mite
1 Ignoble Hierarch
1 Khalni Garden
1 Misty Rainforest
1 Nurturing Peatland
4 Orcish Bowmasters
2 Overgrown Tomb
1 Pendelhaven
1 Sheoldred, the Apocalypse
2 Strangleroot Geist
1 Swamp
1 Takenuma, Abandoned Mire
2 Twilight Mire
4 Verdant Catacombs
4 Wall of Roots
4 Yawgmoth, Thran Physician
4 Young Wolf
1 Zulaport Cutthroat

Sideboard
2 Chalice of the Void
2 Endurance
1 Fatal Push
2 Force of Vigor
2 Fulminator Mage
1 Go for the Throat
1 Legion's End
1 Reclamation Sage
1 Soulless Jailer
2 Thoughtseize
"
7,8,358824,833056,12-3-0,Marco Del Pivo,Temur Rhinos,"Deck
2 Island
3 Tishana's Tidebinder
2 Flame of Anor
4 Lórien Revealed
1 Otawara, Soaring City
1 Boseiju, Who Endures
4 Force of Negation
4 Fire // Ice
4 Shardless Agent
3 Subtlety
2 Murktide Regent
1 Ketria Triome
1 Mystical Dispute
1 Dismember
1 Forest
1 Mountain
1 Stomping Ground
1 Gemstone Caverns
3 Dead // Gone
4 Violent Outburst
4 Misty Rainforest
1 Steam Vents
1 Breeding Pool
2 Mutavault
4 Wooded Foothills
4 Crashing Footfalls

Sideboard
1 Blood Moon
2 Mystical Dispute
2 Magus of the Moon
3 Endurance
2 Force of Vigor
1 Ertai's Scorn
2 Brotherhood's End
1 Boseiju, Who Endures
1 Flame of Anor
"
8,9,358514,833262,12-3-0,Jake Swales,Temur Rhinos,"Deck
1 Boseiju, Who Endures
1 Breeding Pool
2 Gemstone Caverns
1 Ketria Triome
4 Misty Rainforest
1 Otawara, Soaring City
1 Steam Vents
1 Stomping Ground
4 Wooded Foothills
4 Crashing Footfalls
3 Tishana's Tidebinder
4 Force of Negation
4 Violent Outburst
4 Shardless Agent
3 Subtlety
4 Dead // Gone
4 Fire // Ice
4 Lórien Revealed
1 Murktide Regent
2 Island
1 Forest
1 Mountain
2 Flame of Anor
1 Mutavault
1 Dismember
1 Mystical Dispute

Sideboard
1 Brotherhood's End
1 Mystical Dispute
2 Magus of the Moon
1 Force of Vigor
3 Endurance
1 Boseiju, Who Endures
2 Flame of Anor
1 Dismember
1 Commandeer
1 Tishana's Tidebinder
1 Subtlety
"
9,10,358949,811861,12-3-0,CrisMTG77,Amulet Titan,"Deck
4 Amulet of Vigor
4 Arboreal Grazer
1 Azusa, Lost but Seeking
1 Bojuka Bog
1 Boros Garrison
3 Boseiju, Who Endures
1 Cavern of Souls
1 Cultivator Colossus
4 Dryad of the Ilysian Grove
1 Expedition Map
4 Forest
2 Golgari Rot Farm
1 Gruul Turf
1 Otawara, Soaring City
4 Primeval Titan
2 Selesnya Sanctuary
4 Simic Growth Chamber
1 Slayers' Stronghold
1 Spelunking
4 Summoner's Pact
1 Sunhome, Fortress of the Legion
2 The Mycosynth Gardens
4 The One Ring
2 Tolaria West
4 Urza's Saga
2 Valakut, the Molten Pinnacle
1 Vesuva

Sideboard
2 Cursed Totem
3 Defense Grid
3 Dismember
2 Endurance
1 Engineered Explosives
1 Force of Vigor
2 Generous Ent
1 Radiant Fountain
"
